repository,consumer,current input,proposed compiled input,required change,compatibility risk,owner
leap_mappings,Stage 0 workbook maintenance,"three maintained pair sheets","separate flow/product mappings + reviewed pair overrides + accepted valid-pair registries","add review and acceptance workflow; keep pair sheets authoritative during shadow period",high,mapping maintainer
leap_mappings,Stage 1 relationship builder,"three maintained pair sheets + rollup sheets","compiler-emitted compatibility pair views with the same sheet columns","switch one reader boundary after exact-set and graph gates pass",high,mapping maintainer
leap_mappings,Stage 2 Common ESTO builder,energy_balance_relationships.csv,unchanged energy_balance_relationships schema,"no initial semantic change; add compiler generation metadata",low,mapping maintainer
leap_mappings,Stage 3 value application,"Common ESTO rows + energy balance relationships","same files with explicit source-once semantics metadata","fix or verify one-source-to-many-component delivery before adoption",high,mapping maintainer
leap_mappings,candidate and mapping QA tools,"direct pair-sheet reads + source datasets","accepted registries + compiled candidates + compatibility pair views","route candidate generation through compiler and preserve review-only status",medium-high,mapping maintainer
leap_mappings,hierarchy and subtotal tools,"pair rows + rollup rules","compiled pair view + unchanged rollup/subtotal metadata","compare parent/subtotal diagnostics during shadow runs",medium,mapping maintainer
leap_initialisation,canonical mapping loaders,"outlook_mappings_master.xlsx pair sheets","versioned compiled compatibility pair views from leap_mappings","add one canonical loader; retain pair-context warning",medium,initialisation maintainer
leap_initialisation,supply demand and transformation workflows,"multiple direct pair-sheet reads and local helpers","central compiled-pair loader or Common ESTO contract","migrate callers incrementally; do not create global fuel-only dictionaries",high,initialisation maintainer
leap_initialisation,local mapping maintenance copies,"duplicated conversion/maintenance utilities","remove only after mappings-owned compiler is accepted","inventory active versus legacy copies and deprecate deliberately",high,initialisation maintainer
leap_initialisation,LEAP template and export evidence,"per-economy templates + observed balances","structural LEAP registry + partial observed-pair evidence + reserved-pair config","publish refresh manifest without treating one-economy absence as global invalidity",medium,initialisation maintainer
leap_dashboard,main dashboard data path,"Common ESTO data and metadata","unchanged Common ESTO contract","no initial change",low,dashboard maintainer
leap_dashboard,mapping diagnostics page,"pair-sheet names and mapping diagnostics","compiler manifest + compatibility pair view diagnostics","update diagnostic labels and provenance after shadow acceptance",low-medium,dashboard maintainer
